cat_id,model,observations,mae,rmse,wape,forecast_bias,mean_actual,mean_predicted
FOODS,ETS,28,242.836,290.176,7.486,-5.948,3244.036,3051.09
FOODS,XGBoost,28,271.739,339.164,8.377,-8.377,3244.036,2972.297
FOODS,Seasonal Naive,28,272.821,317.321,8.41,-7.236,3244.036,3009.286
HOBBIES,XGBoost,28,56.068,67.19,10.191,-8.438,550.179,503.757
HOBBIES,ETS,28,69.579,81.603,12.647,-3.898,550.179,528.732
HOBBIES,Seasonal Naive,28,75.964,95.452,13.807,-3.382,550.179,531.571
HOUSEHOLD,ETS,28,46.76,72.358,4.711,-0.544,992.643,987.248
HOUSEHOLD,Seasonal Naive,28,66.857,86.746,6.735,-1.274,992.643,980
HOUSEHOLD,XGBoost,28,93.701,119.533,9.44,-8.836,992.643,904.934
ALL,ETS,84,119.725,178.976,7.503,-4.591,1595.619,1522.357
ALL,Seasonal Naive,84,138.548,197.761,8.683,-5.557,1595.619,1506.952
ALL,XGBoost,84,140.502,211.215,8.806,-8.479,1595.619,1460.329
