feature,gain,cover,frequency
cat_id_FOODS,0.6675675165171006,0.009476685570478474,0.002224496151621658
lag_28,0.2886322985915139,0.3339760675925971,0.2306802509231659
weekday_number,0.01055234680520686,0.026353781449391607,0.043822574186946656
price_relative_to_28_day_mean,0.009211518318032155,0.10971709957723186,0.1543355429995106
average_price,0.007294632764057354,0.24215128499109073,0.19771321795613295
day_of_month,0.004780251284814534,0.0562436959152908,0.08893535614183387
day_of_year,0.003782355023515975,0.10961397517328882,0.10188192374427192
calendar_week,0.001870624275751952,0.036426995584142224,0.04738176802954131
month_cos,0.0013655096189492627,0.007982592749665044,0.02184455220892468
weekday_cos,0.001089907240918241,0.008277712995095535,0.016149842060773235
is_event,0.0010242365059754878,0.009294331441554803,0.014770654446767808
month_sin,9.058533489619279e-4,0.01954160876399067,0.020687814210081416
cat_id_HOBBIES,4.927269268641623e-4,0.00870097020314902,0.0080526760688704
within_3_days_of_event,4.737922140921518e-4,0.003921941254023494,0.014770654446767808
calendar_month,3.994185887403882e-4,0.0013219393443123094,0.010366152066556925
weekday_sin,3.640669885088792e-4,0.008923195375331608,0.017262090136584064
within_7_days_of_event,1.4779089237343146e-4,0.005121053564371124,0.006406548916670374
cat_id_HOUSEHOLD,3.1038496235981794e-5,8.400866077311164e-4,9.342883836810962e-4
is_quarter_start,8.816917414622804e-6,0.0012439206556923484,9.342883836810962e-4
is_month_end,2.8653593537547224e-6,2.034541085922331e-4,4.4489923032433156e-4
is_quarter_end,2.4333216184306103e-6,6.67607082979047e-4,4.0040930729189837e-4
